Name	Emittent	ISIN
HSBC ETF- CHINA DLA 	HSBC Investment Funds [Luxemburg] S.A. 	IE0007P4PBU1 
HSBC ETF- WORLD DLA 	HSBC Investment Funds [Luxemburg] S.A. 	IE000UQND7H4 
HSBC ETFS-SP500 DLA 	HSBC Investment Funds [Luxemburg] S.A. 	IE000JZ473P7 
HSBC EURO STOXX 50 ETF 	HSBC Investment Funds [Luxemburg] S.A. 	IE00B4K6B022 
HSBC FTSE 100 ETF 	HSBC Investment Funds [Luxemburg] S.A. 	IE00B42TW061 
HSBC HANG SENG TECH ETF 	HSBC Investment Funds [Luxemburg] S.A. 	IE00BMWXKN31 
HSBC MSCI AC FAR EAST EX JAPAN ETF 	HSBC Investment Funds [Luxemburg] S.A. 	IE00BBQ2W338 
HSBC MSCI CHINA A UCITS ETF 	HSBC Investment Funds [Luxemburg] S.A. 	IE00BF4NQ904 
HSBC MSCI CHINA ETF 	HSBC Investment Funds [Luxemburg] S.A. 	IE00B44T3H88 
HSBC MSCI EMERG MKTS ETF 	HSBC Investment Funds [Luxemburg] S.A. 	IE00B5SSQT16 
HSBC MSCI EUROPE CLIMATE PARIS ALGND ETF 	HSBC Investment Funds [Luxemburg] S.A. 	IE00BP2C0316 
HSBC MSCI JAPAN CLIMATE PARIS ALGND ETF 	HSBC Investment Funds [Luxemburg] S.A. 	IE000UU299V4 
HSBC MSCI PACIFIC EX JAPAN ETF 	HSBC Investment Funds [Luxemburg] S.A. 	IE00B5SG8Z57 
HSBC MSCI USA CLIMATE PARIS ALIGNED ETF 	HSBC Investment Funds [Luxemburg] S.A. 	IE00BP2C1S34 
HSBC MSCI USA ETF 	HSBC Investment Funds [Luxemburg] S.A. 	IE00B5WFQ436 
HSBC MSCI WORLD CLIMATE PARIS ALGND ETF 	HSBC Investment Funds [Luxemburg] S.A. 	IE00BP2C1V62 
HSBC MSCI WORLD ETF 	HSBC Investment Funds [Luxemburg] S.A. 	IE00B4X9L533 
HSBC NASDAQ GLOBAL SEMICONDUCTOR ETF 	HSBC Investment Funds [Luxemburg] S.A. 	IE000YDZG487 
HSBC S&P 500 ETF 	HSBC Investment Funds [Luxemburg] S.A. 	IE00B5KQNG97 
HSBC USA SUSTAINABLE EQUITY ETF 	HSBC Investment Funds [Luxemburg] S.A. 	IE00BKY40J65 
HSBC- EU50ETF EOA 	HSBC Investment Funds [Luxemburg] S.A. 	IE000MWUQBJ0 
HSBCETFSWEBSEQ DLA 	HSBC Investment Funds [Luxemburg] S.A. 	IE0002UTLE51 
HSBCMSCEMCPA DLA 	HSBC Investment Funds [Luxemburg] S.A. 	IE000FNVOB27 
ICLIMA GLOBAL DECARBONISATION ENBLRS ETF 	HANetf Management Ltd. 	IE00BNC1F287 
ICLIMA SMART ENERGY ETF 	HANetf Management Ltd. 	IE00BLCH4S17 
INVESCO COINSHARES GLOBAL BLOCKCHAIN ETF 	Invesco Investment Management Ltd. 	IE00BGBN6P67 
INVESCO CONSUMER DISCR S&P US SELSEC ETF 	Invesco Investment Management Ltd. 	IE00B449XP68 
INVESCO EQQQ NASDAQ-100 ETF 	Invesco Investment Management Ltd. 	IE00BFZXGZ54 
INVESCO EQQQ NASDAQ-100 ETF 	Invesco Investment Management Ltd. 	IE0032077012 
INVESCO EURO CORPORATE BOND ETF 	Invesco Investment Management Ltd. 	IE00BF51K249 
INVESCO EURO GOVERNMENT BOND 1-3 YR ETF 	Invesco Investment Management Ltd. 	IE00BGJWWY63 
INVESCO EURO STOXX 50 ETF 	Invesco Investment Management Ltd. 	IE00B60SWX25 
INVESCO EURO STOXX 50 ETF 	Invesco Investment Management Ltd. 	IE00B5B5TG76 
INVESCO EURO STOXX HI DIV LOW VOLETF 	Invesco Investment Management Ltd. 	IE00BZ4BMM98 
INVESCO EURO STOXX OPTIMISED BANKS ETF 	Invesco Investment Management Ltd. 	IE00B3Q19T94 
INVESCO FTSE EM MKTS HI DIV LOW VOL ETF 	Invesco Investment Management Ltd. 	IE00BYYXBF44 
INVESCO FTSE RAFI ALL WORLD 3000 ETF 	Invesco Investment Management Ltd. 	IE00B23LNQ02 
INVESCO FTSE RAFI EMERGING MARKETS ETF 	Invesco Investment Management Ltd. 	IE00B23D9570 
INVESCO FTSE RAFI EUROPE ETF 	Invesco Investment Management Ltd. 	IE00B23D8X81 
INVESCO FTSE RAFI US 1000 ETF 	Invesco Investment Management Ltd. 	IE00B23D8S39 
INVESCO GLOBAL BUYBACK ACHIEVERS ETF 	Invesco Investment Management Ltd. 	IE00BLSNMW37 
